created_date,f_initial_deal_acquisition_date,first_meeting_date,business_meeting_scheduled_date,inflow_route_media_lasttouch,cv_content_sub_lasttouch,stage_name,reasons_not_negotiated,scheduled_initialdead_interval_days,scheduled_initialdead_interval_days_category
2025-06-12T02:04:27.000Z,2026-02-06T09:00:00.000Z,2026-02-12T09:00:00.000Z,2026-02-12T09:00:00.000Z,,,04_稟議用資料提案フェーズ,,6,1週間
2025-06-17T01:17:21.000Z,2025-11-05T09:00:00.000Z,2025-11-14T09:00:00.000Z,2025-11-13T09:00:00.000Z,,,99_失注,,8,2週間以内
2025-06-30T07:50:20.000Z,2025-09-29T09:00:00.000Z,2025-09-29T09:00:00.000Z,2025-09-29T09:00:00.000Z,,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,0,1日以内
2025-07-04T13:29:42.000Z,2025-11-17T09:00:00.000Z,,,,LC_デモ電話_Facebook_0800-111-3892,99_失注,,,その他
2025-07-08T19:43:50.000Z,2025-10-08T09:00:00.000Z,2025-10-21T09:00:00.000Z,2025-10-21T09:00:00.000Z,LIS,LC_デモ電話_AILP_PC_Bパターン_0800-111-3862,99_失注,,13,2週間以内
2025-07-24T07:53:32.000Z,2025-09-17T09:00:00.000Z,,2025-09-17T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,99_失注,,0,1日以内
2025-07-25T16:56:02.000Z,2025-11-05T09:00:00.000Z,2025-11-11T09:00:00.000Z,2025-11-11T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,99_失注,,6,1週間
2025-07-26T14:04:34.000Z,2025-12-12T09:00:00.000Z,2025-12-15T09:00:00.000Z,2025-12-16T09:00:00.000Z,TOP,,99_失注,,4,1週間
2025-07-27T00:02:43.000Z,2025-12-02T09:00:00.000Z,2025-12-03T09:00:00.000Z,2025-12-03T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,06_有料契約申請完了,,1,3日以内
2025-07-29T05:28:49.000Z,2025-10-19T09:00:00.000Z,2025-10-22T09:00:00.000Z,2025-10-22T09:00:00.000Z,TOP,LC_デモ電話_TOPLP_PC_Aパターン_0800-170-7295,99_失注,,3,1週間
2025-07-29T20:04:18.000Z,2025-09-11T09:00:00.000Z,2025-09-17T09:00:00.000Z,2025-09-17T09:00:00.000Z,TOP,LC_デモ電話_TOPLP_PC_Aパターン_0800-170-7295,01_事前設計フェーズ,他進行中（重複/別担当/別商談/直近対応済）,6,1週間
2025-08-03T09:46:25.000Z,2025-10-15T09:00:00.000Z,2025-10-17T09:00:00.000Z,2025-10-17T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,06_有料契約申請完了,他進行中（重複/別担当/別商談/直近対応済）,2,3日以内
2025-08-03T18:09:37.000Z,2025-09-13T09:00:00.000Z,,2025-09-30T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,17,2週間以上
2025-08-04T23:51:14.000Z,2025-12-25T09:00:00.000Z,2025-12-25T09:00:00.000Z,2025-12-25T09:00:00.000Z,TOP,LC_デモ電話_TOPLP_SP_Aパターン_0800-170-8372,99_失注,,0,1日以内
2025-08-11T18:04:24.000Z,2025-09-23T09:00:00.000Z,2025-09-29T09:00:00.000Z,2025-09-29T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,6,1週間
2025-08-15T17:21:31.000Z,2025-09-18T09:00:00.000Z,2025-09-19T09:00:00.000Z,2025-09-19T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,1,3日以内
2025-08-16T01:00:50.000Z,2025-09-02T09:00:00.000Z,2025-09-03T09:00:00.000Z,2025-09-03T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-08-18T08:59:59.000Z,2025-10-10T09:00:00.000Z,2025-10-14T09:00:00.000Z,2025-10-14T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,4,1週間
2025-08-19T18:50:51.000Z,2025-09-12T09:00:00.000Z,2025-09-18T09:00:00.000Z,2025-09-18T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,99_失注,,6,1週間
2025-08-19T23:26:38.000Z,2025-11-05T09:00:00.000Z,2025-11-06T09:00:00.000Z,2025-11-06T09:00:00.000Z,TOP,LC_デモ電話_TOPLP_PC_Aパターン_0800-170-7295,06_有料契約申請完了,,1,3日以内
2025-08-20T21:49:44.000Z,2025-09-17T09:00:00.000Z,2025-09-19T09:00:00.000Z,2025-12-01T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,06_有料契約申請完了,,75,2週間以上
2025-08-22T16:15:55.000Z,2025-09-29T09:00:00.000Z,,2025-10-01T09:00:00.000Z,LIS,,99_失注,,2,3日以内
2025-08-22T23:35:37.000Z,2025-12-11T09:00:00.000Z,2025-12-15T09:00:00.000Z,2025-12-15T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,03_ROI合意フェーズ,,4,1週間
2025-08-26T19:52:27.000Z,2025-09-11T09:00:00.000Z,2025-09-18T09:00:00.000Z,2025-09-18T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,7,2週間以内
2025-08-27T22:07:19.000Z,2026-01-27T09:00:00.000Z,2026-01-28T09:00:00.000Z,2026-01-28T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,05_決裁者合意フェーズ,,1,3日以内
