lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-02-01,DIS,28,28,,817,
2026-02-02,DIS,23,51,918,817,1.1
2026-02-03,DIS,27,78,702,817,0.9
2026-02-04,DIS,23,101,606,817,0.7
2026-02-05,DIS,22,123,554,817,0.7
2026-02-06,DIS,21,144,518,817,0.6
2026-02-07,DIS,7,151,544,817,0.7
2026-02-08,DIS,25,176,634,817,0.8
2026-02-09,DIS,47,223,669,817,0.8
2026-02-10,DIS,35,258,663,817,0.8
2026-02-11,DIS,48,306,787,817,1.0
2026-02-12,DIS,44,350,788,817,1.0
2026-02-13,DIS,52,402,804,817,1.0
2026-02-14,DIS,53,455,910,817,1.1
2026-02-15,DIS,54,509,1018,817,1.2
2026-02-16,DIS,49,558,1004,817,1.2
2026-02-17,DIS,43,601,983,817,1.2
2026-02-18,DIS,46,647,971,817,1.2
2026-02-19,DIS,32,679,940,817,1.2
2026-02-20,DIS,42,721,927,817,1.1
2026-02-21,DIS,39,760,977,817,1.2
2026-02-22,DIS,30,790,1016,817,1.2
2026-02-23,DIS,42,832,1070,817,1.3
2026-02-24,DIS,33,865,1038,817,1.3
2026-02-01,FAX・EDM,2,2,,400,
2026-02-02,FAX・EDM,8,10,180,400,0.5
2026-02-03,FAX・EDM,3,13,117,400,0.3
2026-02-04,FAX・EDM,3,16,96,400,0.2
2026-02-05,FAX・EDM,5,21,95,400,0.2
2026-02-06,FAX・EDM,2,23,83,400,0.2
2026-02-07,FAX・EDM,1,24,86,400,0.2
2026-02-08,FAX・EDM,1,25,90,400,0.2
2026-02-09,FAX・EDM,2,27,81,400,0.2
2026-02-10,FAX・EDM,7,34,87,400,0.2
2026-02-11,FAX・EDM,2,36,93,400,0.2
2026-02-12,FAX・EDM,1,37,83,400,0.2
2026-02-13,FAX・EDM,4,41,82,400,0.2
2026-02-14,FAX・EDM,1,42,84,400,0.2
2026-02-15,FAX・EDM,0,42,84,400,0.2
2026-02-16,FAX・EDM,5,47,85,400,0.2
2026-02-17,FAX・EDM,49,96,157,400,0.4
2026-02-18,FAX・EDM,11,107,161,400,0.4
2026-02-19,FAX・EDM,107,214,296,400,0.7
2026-02-20,FAX・EDM,38,252,324,400,0.8
2026-02-21,FAX・EDM,8,260,334,400,0.8
2026-02-22,FAX・EDM,1,261,336,400,0.8
2026-02-23,FAX・EDM,6,267,343,400,0.9
2026-02-24,FAX・EDM,6,273,328,400,0.8
2026-02-01,LIS,16,16,,366,
2026-02-02,LIS,17,33,594,366,1.6
2026-02-03,LIS,16,49,441,366,1.2
2026-02-04,LIS,17,66,396,366,1.1
2026-02-05,LIS,24,90,405,366,1.1
2026-02-06,LIS,20,110,396,366,1.1
2026-02-07,LIS,8,118,425,366,1.2
2026-02-08,LIS,20,138,497,366,1.4
2026-02-09,LIS,31,169,507,366,1.4
2026-02-10,LIS,21,190,489,366,1.3
2026-02-11,LIS,13,203,522,366,1.4
2026-02-12,LIS,20,223,502,366,1.4
2026-02-13,LIS,10,233,466,366,1.3
2026-02-14,LIS,14,247,494,366,1.3
2026-02-15,LIS,17,264,528,366,1.4
2026-02-16,LIS,21,285,513,366,1.4
2026-02-17,LIS,21,306,501,366,1.4
2026-02-18,LIS,25,331,497,366,1.4
2026-02-19,LIS,20,351,486,366,1.3
2026-02-20,LIS,25,376,483,366,1.3
2026-02-21,LIS,15,391,503,366,1.4
2026-02-22,LIS,13,404,519,366,1.4
2026-02-23,LIS,15,419,539,366,1.5
2026-02-24,LIS,17,436,523,366,1.4
2026-02-01,TOP,5,5,,335,
2026-02-02,TOP,18,23,414,335,1.2
2026-02-03,TOP,24,47,423,335,1.3
2026-02-04,TOP,18,65,390,335,1.2
2026-02-05,TOP,18,83,374,335,1.1
2026-02-06,TOP,10,93,335,335,1.0
2026-02-07,TOP,2,95,342,335,1.0
2026-02-08,TOP,10,105,378,335,1.1
2026-02-09,TOP,15,120,360,335,1.1
2026-02-10,TOP,18,138,355,335,1.1
2026-02-11,TOP,9,147,378,335,1.1
2026-02-12,TOP,11,158,356,335,1.1
2026-02-13,TOP,8,166,332,335,1.0
