achievement_pct,cumulative_actual,daily_leads,dimension,landing_forecast,lead_date,monthly_target
,1,1,DIS,,2026-02-01,82
0.88,4,3,DIS,72.00,2026-02-02,82
1.10,10,6,DIS,90.00,2026-02-03,82
0.95,13,3,DIS,78.00,2026-02-04,82
0.93,17,4,DIS,76.50,2026-02-05,82
0.75,17,0,DIS,61.20,2026-02-06,82
0.75,17,0,DIS,61.20,2026-02-07,82
0.75,17,0,DIS,61.20,2026-02-08,82
0.70,19,2,DIS,57.00,2026-02-09,82
0.66,21,2,DIS,54.00,2026-02-10,82
0.69,22,1,DIS,56.57,2026-02-11,82
0.82,30,8,DIS,67.50,2026-02-12,82
0.80,33,3,DIS,66.00,2026-02-13,82
0.83,34,1,DIS,68.00,2026-02-14,82
0.85,35,1,DIS,70.00,2026-02-15,82
0.90,41,6,DIS,73.80,2026-02-16,82
0.86,43,2,DIS,70.36,2026-02-17,82
0.86,47,4,DIS,70.50,2026-02-18,82
0.83,49,2,DIS,67.85,2026-02-19,82
0.80,51,2,DIS,65.57,2026-02-20,82
0.80,51,0,DIS,65.57,2026-02-21,82
0.80,51,0,DIS,65.57,2026-02-22,82
0.80,51,0,DIS,65.57,2026-02-23,82
0.82,56,5,DIS,67.20,2026-02-24,82
0.81,59,3,DIS,66.38,2026-02-25,82
0.77,60,1,DIS,63.53,2026-02-26,82
,0,0,FAX・EDM,,2026-02-01,28
0.00,0,0,FAX・EDM,0.00,2026-02-02,28
0.00,0,0,FAX・EDM,0.00,2026-02-03,28
0.21,1,1,FAX・EDM,6.00,2026-02-04,28
0.32,2,1,FAX・EDM,9.00,2026-02-05,28
0.39,3,1,FAX・EDM,10.80,2026-02-06,28
0.39,3,0,FAX・EDM,10.80,2026-02-07,28
0.39,3,0,FAX・EDM,10.80,2026-02-08,28
0.32,3,0,FAX・EDM,9.00,2026-02-09,28
0.37,4,1,FAX・EDM,10.29,2026-02-10,28
0.37,4,0,FAX・EDM,10.29,2026-02-11,28
0.56,7,3,FAX・EDM,15.75,2026-02-12,28
0.50,7,0,FAX・EDM,14.00,2026-02-13,28
0.50,7,0,FAX・EDM,14.00,2026-02-14,28
0.50,7,0,FAX・EDM,14.00,2026-02-15,28
0.45,7,0,FAX・EDM,12.60,2026-02-16,28
0.47,8,1,FAX・EDM,13.09,2026-02-17,28
0.59,11,3,FAX・EDM,16.50,2026-02-18,28
0.79,16,5,FAX・EDM,22.15,2026-02-19,28
0.87,19,3,FAX・EDM,24.43,2026-02-20,28
0.87,19,0,FAX・EDM,24.43,2026-02-21,28
0.87,19,0,FAX・EDM,24.43,2026-02-22,28
0.92,20,1,FAX・EDM,25.71,2026-02-23,28
0.99,23,3,FAX・EDM,27.60,2026-02-24,28
1.00,25,2,FAX・EDM,28.13,2026-02-25,28
0.95,25,0,FAX・EDM,26.47,2026-02-26,28
,0,0,LIS,,2026-02-01,51
1.06,3,3,LIS,54.00,2026-02-02,51
0.71,4,1,LIS,36.00,2026-02-03,51
0.59,5,1,LIS,30.00,2026-02-04,51
0.53,6,1,LIS,27.00,2026-02-05,51
0.56,8,2,LIS,28.80,2026-02-06,51
0.71,10,2,LIS,36.00,2026-02-07,51
0.71,10,0,LIS,36.00,2026-02-08,51
0.82,14,4,LIS,42.00,2026-02-09,51
0.86,17,3,LIS,43.71,2026-02-10,51
0.86,17,0,LIS,43.71,2026-02-11,51
0.79,18,1,LIS,40.50,2026-02-12,51
0.86,22,4,LIS,44.00,2026-02-13,51
0.86,22,0,LIS,44.00,2026-02-14,51
0.86,22,0,LIS,44.00,2026-02-15,51
0.95,27,5,LIS,48.60,2026-02-16,51
1.03,32,5,LIS,52.36,2026-02-17,51
1.00,34,2,LIS,51.00,2026-02-18,51
1.03,38,4,LIS,52.62,2026-02-19,51
1.06,42,4,LIS,54.00,2026-02-20,51
1.06,42,0,LIS,54.00,2026-02-21,51
1.06,42,0,LIS,54.00,2026-02-22,51
1.06,42,0,LIS,54.00,2026-02-23,51
1.11,47,5,LIS,56.40,2026-02-24,51
1.08,49,2,LIS,55.13,2026-02-25,51
1.02,49,0,LIS,51.88,2026-02-26,51
,0,0,TOP,,2026-02-01,78
1.62,7,7,TOP,126.00,2026-02-02,78
1.96,17,10,TOP,153.00,2026-02-03,78
1.62,21,4,TOP,126.00,2026-02-04,78
1.56,27,6,TOP,121.50,2026-02-05,78
1.25,27,0,TOP,97.20,2026-02-06,78
1.25,27,0,TOP,97.20,2026-02-07,78
1.29,28,1,TOP,100.80,2026-02-08,78
1.42,37,9,TOP,111.00,2026-02-09,78
1.32,40,3,TOP,102.86,2026-02-10,78
1.35,41,1,TOP,105.43,2026-02-11,78
1.47,51,10,TOP,114.75,2026-02-12,78
1.41,55,4,TOP,110.00,2026-02-13,78
1.41,55,0,TOP,110.00,2026-02-14,78
1.46,57,2,TOP,114.00,2026-02-15,78
1.43,62,5,TOP,111.60,2026-02-16,78
1.38,66,4,TOP,108.00,2026-02-17,78
1.38,72,6,TOP,108.00,2026-02-18,78
1.33,75,3,TOP,103.85,2026-02-19,78
1.32,80,5,TOP,102.86,2026-02-20,78
1.32,80,0,TOP,102.86,2026-02-21,78
1.32,80,0,TOP,102.86,2026-02-22,78
1.32,80,0,TOP,102.86,2026-02-23,78
1.34,87,7,TOP,104.40,2026-02-24,78
1.28,89,2,TOP,100.13,2026-02-25,78
1.21,89,0,TOP,94.24,2026-02-26,78
,0,0,その他,,2026-02-01,9
0.00,0,0,その他,0.00,2026-02-02,9
0.00,0,0,その他,0.00,2026-02-03,9
0.00,0,0,その他,0.00,2026-02-04,9
0.00,0,0,その他,0.00,2026-02-05,9
0.00,0,0,その他,0.00,2026-02-06,9
0.00,0,0,その他,0.00,2026-02-07,9
0.00,0,0,その他,0.00,2026-02-08,9
0.33,1,1,その他,3.00,2026-02-09,9
0.29,1,0,その他,2.57,2026-02-10,9
0.29,1,0,その他,2.57,2026-02-11,9
0.25,1,0,その他,2.25,2026-02-12,9
0.22,1,0,その他,2.00,2026-02-13,9
0.22,1,0,その他,2.00,2026-02-14,9
0.22,1,0,その他,2.00,2026-02-15,9
0.20,1,0,その他,1.80,2026-02-16,9
0.18,1,0,その他,1.64,2026-02-17,9
0.17,1,0,その他,1.50,2026-02-18,9
0.15,1,0,その他,1.38,2026-02-19,9
0.14,1,0,その他,1.29,2026-02-20,9
0.14,1,0,その他,1.29,2026-02-21,9
0.14,1,0,その他,1.29,2026-02-22,9
0.14,1,0,その他,1.29,2026-02-23,9
0.13,1,0,その他,1.20,2026-02-24,9
0.13,1,0,その他,1.13,2026-02-25,9
0.12,1,0,その他,1.06,2026-02-26,9
,1,1,全体,,2026-02-01,249
1.01,14,13,全体,252.00,2026-02-02,249
1.12,31,17,全体,279.00,2026-02-03,249
0.96,40,9,全体,240.00,2026-02-04,249
0.94,52,12,全体,234.00,2026-02-05,249
0.81,56,4,全体,201.60,2026-02-06,249
0.84,58,2,全体,208.80,2026-02-07,249
0.85,59,1,全体,212.40,2026-02-08,249
0.90,75,16,全体,225.00,2026-02-09,249
0.87,84,9,全体,216.00,2026-02-10,249
0.89,86,2,全体,221.14,2026-02-11,249
0.98,108,22,全体,243.00,2026-02-12,249
0.96,119,11,全体,238.00,2026-02-13,249
0.96,120,1,全体,240.00,2026-02-14,249
0.99,123,3,全体,246.00,2026-02-15,249
1.00,139,16,全体,250.20,2026-02-16,249
0.99,151,12,全体,247.09,2026-02-17,249
1.00,166,15,全体,249.00,2026-02-18,249
1.00,180,14,全体,249.23,2026-02-19,249
1.00,194,14,全体,249.43,2026-02-20,249
1.00,194,0,全体,249.43,2026-02-21,249
1.00,194,0,全体,249.43,2026-02-22,249
1.01,195,1,全体,250.71,2026-02-23,249
1.04,215,20,全体,258.00,2026-02-24,249
1.01,224,9,全体,252.00,2026-02-25,249
0.96,225,1,全体,238.24,2026-02-26,249
