achievement_pct,cumulative_actual,daily_leads,dimension,landing_forecast,lead_date,monthly_target
,0,0,DIS,,2026-02-01,70
0.51,2,2,DIS,36.00,2026-02-02,70
0.64,5,3,DIS,45.00,2026-02-03,70
0.77,9,4,DIS,54.00,2026-02-04,70
0.90,14,5,DIS,63.00,2026-02-05,70
0.77,15,1,DIS,54.00,2026-02-06,70
0.77,15,0,DIS,54.00,2026-02-07,70
0.77,15,0,DIS,54.00,2026-02-08,70
0.77,18,3,DIS,54.00,2026-02-09,70
0.73,20,2,DIS,51.43,2026-02-10,70
0.73,20,0,DIS,51.43,2026-02-11,70
0.77,24,4,DIS,54.00,2026-02-12,70
0.77,27,3,DIS,54.00,2026-02-13,70
0.77,27,0,DIS,54.00,2026-02-14,70
0.77,27,0,DIS,54.00,2026-02-15,70
0.82,32,5,DIS,57.60,2026-02-16,70
0.86,37,5,DIS,60.55,2026-02-17,70
0.86,40,3,DIS,60.00,2026-02-18,70
0.83,42,2,DIS,58.15,2026-02-19,70
0.79,43,1,DIS,55.29,2026-02-20,70
0.79,43,0,DIS,55.29,2026-02-21,70
0.81,44,1,DIS,56.57,2026-02-22,70
0.81,44,0,DIS,56.57,2026-02-23,70
0.84,49,5,DIS,58.80,2026-02-24,70
0.84,52,3,DIS,58.50,2026-02-25,70
0.80,53,1,DIS,56.12,2026-02-26,70
,0,0,FAX・EDM,,2026-02-01,24
0.00,0,0,FAX・EDM,0.00,2026-02-02,24
0.00,0,0,FAX・EDM,0.00,2026-02-03,24
0.00,0,0,FAX・EDM,0.00,2026-02-04,24
0.19,1,1,FAX・EDM,4.50,2026-02-05,24
0.15,1,0,FAX・EDM,3.60,2026-02-06,24
0.15,1,0,FAX・EDM,3.60,2026-02-07,24
0.15,1,0,FAX・EDM,3.60,2026-02-08,24
0.25,2,1,FAX・EDM,6.00,2026-02-09,24
0.32,3,1,FAX・EDM,7.71,2026-02-10,24
0.32,3,0,FAX・EDM,7.71,2026-02-11,24
0.28,3,0,FAX・EDM,6.75,2026-02-12,24
0.33,4,1,FAX・EDM,8.00,2026-02-13,24
0.33,4,0,FAX・EDM,8.00,2026-02-14,24
0.33,4,0,FAX・EDM,8.00,2026-02-15,24
0.38,5,1,FAX・EDM,9.00,2026-02-16,24
0.55,8,3,FAX・EDM,13.09,2026-02-17,24
0.50,8,0,FAX・EDM,12.00,2026-02-18,24
0.46,8,0,FAX・EDM,11.08,2026-02-19,24
0.48,9,1,FAX・EDM,11.57,2026-02-20,24
0.48,9,0,FAX・EDM,11.57,2026-02-21,24
0.48,9,0,FAX・EDM,11.57,2026-02-22,24
0.48,9,0,FAX・EDM,11.57,2026-02-23,24
0.55,11,2,FAX・EDM,13.20,2026-02-24,24
0.56,12,1,FAX・EDM,13.50,2026-02-25,24
0.53,12,0,FAX・EDM,12.71,2026-02-26,24
,0,0,LIS,,2026-02-01,44
1.23,3,3,LIS,54.00,2026-02-02,44
1.64,8,5,LIS,72.00,2026-02-03,44
1.36,10,2,LIS,60.00,2026-02-04,44
1.13,11,1,LIS,49.50,2026-02-05,44
0.98,12,1,LIS,43.20,2026-02-06,44
1.06,13,1,LIS,46.80,2026-02-07,44
1.06,13,0,LIS,46.80,2026-02-08,44
1.09,16,3,LIS,48.00,2026-02-09,44
1.05,18,2,LIS,46.29,2026-02-10,44
1.05,18,0,LIS,46.29,2026-02-11,44
0.97,19,1,LIS,42.75,2026-02-12,44
1.00,22,3,LIS,44.00,2026-02-13,44
1.00,22,0,LIS,44.00,2026-02-14,44
1.00,22,0,LIS,44.00,2026-02-15,44
1.02,25,3,LIS,45.00,2026-02-16,44
1.04,28,3,LIS,45.82,2026-02-17,44
0.95,28,0,LIS,42.00,2026-02-18,44
0.94,30,2,LIS,41.54,2026-02-19,44
0.99,34,4,LIS,43.71,2026-02-20,44
0.99,34,0,LIS,43.71,2026-02-21,44
0.99,34,0,LIS,43.71,2026-02-22,44
0.99,34,0,LIS,43.71,2026-02-23,44
1.04,38,4,LIS,45.60,2026-02-24,44
1.15,45,7,LIS,50.63,2026-02-25,44
1.08,45,0,LIS,47.65,2026-02-26,44
,0,0,TOP,,2026-02-01,74
1.22,5,5,TOP,90.00,2026-02-02,74
1.22,10,5,TOP,90.00,2026-02-03,74
1.22,15,5,TOP,90.00,2026-02-04,74
1.16,19,4,TOP,85.50,2026-02-05,74
1.17,24,5,TOP,86.40,2026-02-06,74
1.17,24,0,TOP,86.40,2026-02-07,74
1.17,24,0,TOP,86.40,2026-02-08,74
1.26,31,7,TOP,93.00,2026-02-09,74
1.25,36,5,TOP,92.57,2026-02-10,74
1.25,36,0,TOP,92.57,2026-02-11,74
1.25,41,5,TOP,92.25,2026-02-12,74
1.16,43,2,TOP,86.00,2026-02-13,74
1.16,43,0,TOP,86.00,2026-02-14,74
1.16,43,0,TOP,86.00,2026-02-15,74
1.22,50,7,TOP,90.00,2026-02-16,74
1.28,58,8,TOP,94.91,2026-02-17,74
1.30,64,6,TOP,96.00,2026-02-18,74
